,_id,count_with_activity
564,Apple Valley,172
565,Highlands Ranch,172
566,Brooklyn Park,172
567,Reston,171
568,Miami Gardens,171
569,Antioch,170
570,Bastrop,169
571,Hanover,169
572,Port Orchard,169
573,North Miami,169
574,Mt Prospect,169
575,Midlothian,169
576,Minnetonka,168
577,Glenview,167
578,Baldwin Park,167
579,Hempstead,167
580,Lake Oswego,167
581,Rowlett,167
582,Austell,166
583,Patchogue,166
584,East Brunswick,166
585,Haltom City,166
586,Boerne,165
587,Birmingham,165
588,Gig Harbor,165
589,Naples,165
590,Bartlesville,165
591,Seguin,164
592,Carmichael,164
593,Milpitas,164
594,Camden,164
595,Oxford,164
596,Bensalem,163
597,Cornelius,163
598,Fairview Heights,163
599,Apache Junction,163
600,Schererville,163
601,Dublin,163
602,Harrison,163
603,Malden,162
604,Alameda,162
605,St Louis Park,162
606,Davenport,162
607,City of Industry,162
608,Venice,162
609,Lincoln Park,161
610,New Brunswick,161
611,West Sacramento,161
612,Rochester,161
613,Colton,161
614,Exton,160
615,Riverhead,160
616,New Rochelle,160
617,Terrell,160
618,Kansas City,160
619,Poway,160
620,Boise,159
621,Azusa,159
622,Doylestown,159
623,Daly City,159
624,Santa Rosa,159
625,Orange City,159
626,Shakopee,159
627,Milwaukie,158
628,Joplin,158
629,Edwardsville,158
630,Algonquin,157
631,Commerce City,157
632,Snohomish,157
633,Norco,156
634,Linden,156
635,Rosemead,156
636,Fort Pierce,155
637,Royal Palm Beach,155
638,Tarpon Springs,155
639,Independence,154
640,Shoreline,154
641,Collinsville,154
642,Valley Stream,154
643,Vacaville,153
644,Southgate,153
645,Kyle,153
646,Monterey Park,152
647,San Gabriel,151
648,Tamarac,151
649,Ridgefield,151
650,Elk Grove Village,151
651,Corsicana,151
652,DeSoto,150
653,Catonsville,150
654,Yucaipa,150
655,Cranberry Twp,150
656,Mt Dora,150
657,Westbury,150
658,Chino Hills,149
659,Saugus,149
660,Valencia,148
661,Braintree,148
662,Killeen,147
663,Bloomfield,147
664,Geneva,147
665,Commack,147
666,Huntington Station,147
667,Placerville,147
668,Manhattan Beach,147
669,Okeechobee,146
670,Farmington,146
671,Dayton,146
672,Wylie,146
673,Artesia,146
674,The Colony,145
675,King of Prussia,145
676,Lone Tree,145
677,Laguna Hills,145
678,Alton,145
679,Lake Wales,145
680,West Haven,144
681,Woburn,144
682,Watertown,144
683,Randolph,144
684,Eden Prairie,144
685,Jackson,144
686,Dover,144
687,Lynwood,144
688,Lansdale,144
689,Morristown,144
690,Weatherford,144
691,Hiram,143
692,Stillwater,143
693,New Orleans,143
694,Richfield,143
695,Huntington,142
696,Lithonia,142
697,Brookline,142
698,Bayonne,142
699,South San Francisco,141
700,Elkton,141
701,Studio City,141
702,Farmingdale,141
703,Dedham,141
704,Oswego,141
705,Reseda,141
706,Sylmar,140
707,Redford Charter Twp,140
708,Lincolnton,139
709,El Segundo,139
710,Buckeye,139
711,Fort Lee,139
712,Crown Point,139
713,Aventura,139
714,Revere,138
715,Payson,138
716,Hickory,138
717,Marlton,138
718,Auburn Hills,137
719,Laguna Niguel,137
720,Deltona,137
721,Gainesville,137
722,Allen Park,136
723,Bloomingdale,136
724,Lakeville,136
725,West Bloomfield Township,136
726,New Baltimore,136
727,La Mirada,136
728,Phoenixville,136
729,Lexington,136
730,Weymouth,135
731,Madison,135
732,Annandale,135
733,Villa Park,135
734,Mt Laurel Township,135
735,Woodinville,134
736,Ferndale,134
737,Maywood,134
738,Pittsburg,134
739,Eustis,134
740,Casselberry,134
741,Lauderhill,134
742,Newtown,134
743,Lindenhurst,133
744,Petaluma,133
745,Coppell,133
746,Clackamas,133
747,Branford,133
748,Romeoville,133
749,Roselle,133
750,Wheeling,133
751,Rockledge,133
752,Chamblee,132
753,Lady Lake,132
754,Vero Beach,132
755,Port Orange,132
756,Forney,132
757,North Brunswick Township,132
758,Weston,131
759,Eastpointe,131
760,Northbrook,131
761,Victorville,131
762,Indian Trail,131
763,Granada Hills,131
764,Westmont,131
765,Southampton,130
766,Livingston,129
767,Chatsworth,129
768,Loganville,129
769,Ramsey,129
770,Longview,129
771,Irvington,129
772,Inverness,129
773,La Porte,129
774,Bridgewater Township,128
775,Dundalk,128
776,San Ramon,128
777,Oakdale,128
778,Yorba Linda,128
779,Newberg,127
780,Novato,127
781,East Orange,127
782,Crystal Lake,126
783,Doraville,126
784,Northglenn,126
785,Menifee,126
786,Melrose Park,126
787,White Bear Lake,126
788,St Peters,125
789,Auburndale,125
790,Port Chester,125
791,Poulsbo,125
792,Chesterfield,125
793,Bakersfield,125
794,Sun City,125
795,Lake Jackson,125
796,Santa Fe Springs,124
797,Village of Clarkston,124
798,Centreville,124
799,Ennis,124
800,Wichita,123
801,Bear,123
802,Maricopa,123
803,Prescott,123
804,Park Ridge,123
805,Diamond Bar,123
806,Mableton,123
807,Albany,123
808,Perth Amboy,123
809,Dickinson,122
810,Cleveland,122
811,Schertz,122
812,Pacoima,122
813,Hamilton Township,121
814,Calumet City,121
815,Rowland Heights,121
816,Greensboro,121
817,Capitol Heights,121
818,Smithtown,120
819,Happy Valley,120
820,New Lenox,120
821,Paramount,120
822,Pennsauken Township,119
823,Placentia,119
824,Wilsonville,119
825,Lebanon,119
826,San Dimas,119
827,Hoffman Estates,118
828,Upper Darby,118
829,Claremont,118
830,Darien,118
831,Kirkwood,117
832,Johns Creek,117
833,Leander,117
834,Parkville,117
835,New Hyde Park,117
836,Pineville,117
837,Bay City,117
838,San Fernando,116
839,Granite City,116
840,Mt Vernon,116
841,Kearny,116
842,Laguna Beach,116
843,Daytona Beach,116
844,Mokena,115
845,Warminster,115
846,Farmers Branch,115
847,Angleton,114
848,West Orange,114
849,Rockville Centre,114
850,Dunwoody,114
851,New London,114
852,Tualatin,114
853,Bartow,114
854,Forest Lake,114
855,Sun Valley,114
856,North Highlands,113
857,Crystal River,113
858,Scarsdale,113
859,Commerce Charter Twp,113
860,Palmetto,113
861,Woodburn,113
862,Greenacres,113
863,Encino,113
864,Jackson Heights,112
865,Haines City,112
866,Lincoln,112
867,Warwick,112
868,Balch Springs,112
869,Buda,112
870,Mt Holly,112
871,Wyandotte,112
872,Azle,112
873,Woodside,111
874,Macomb,111
875,Cockeysville,111
876,Chelsea,111
877,Elkridge,111
878,Chicago Heights,111
879,Dade City,111
880,Lithia Springs,111
881,West Babylon,111
882,Campbell,111
883,Reno,111
884,La Grange,111
885,Northville,110
886,Ewing Township,110
887,Oxon Hill,110
888,La Verne,110
889,Sicklerville,110
890,Quakertown,110
891,Westport,110
892,West New York,110
893,Los Gatos,110
894,Groton,109
895,Lawndale,109
896,South Plainfield,109
897,Woodhaven,109
898,Dacula,108
899,San Carlos,108
900,Essex,108
901,Downingtown,108
902,Sewell,108
903,Lemon Grove,108
904,Flagstaff,108
905,Nanuet,107
906,Danbury,107
907,Colleyville,107
908,Universal City,107
909,Modesto,107
910,Beltsville,107
911,Coconut Creek,107
912,Westlake Village,107
913,Media,107
914,Creve Coeur,107
915,Lansing,107
916,Sebring,107
917,Langhorne,106
918,Albuquerque,106
919,Voorhees Township,106
920,Clovis,106
921,Royersford,106
922,Brunswick,106
923,Massapequa,105
924,Mt Pleasant,105
925,Munster,105
926,South Elgin,105
927,Forest Hill,105
928,York,104
929,Valrico,104
930,Lomita,104
931,South Pasadena,104
932,Upper Marlboro,104
933,Rosedale,104
934,Dana Point,104
935,Camarillo,104
936,Rockaway,104
937,Louisville,104
938,Teaneck,104
939,Elk River,104
940,Porter,103
941,Fair Oaks,103
942,Salt Lake City,103
943,Toledo,103
944,Carol Stream,103
945,Piscataway,103
946,Riviera Beach,103
947,Wexford,102
948,Converse,102
949,West Melbourne,102
950,Frankfort,102
951,Lockport,102
952,Homewood,102
953,East Point,101
954,Bonney Lake,101
955,Forest Hills,101
956,Ramona,101
957,San Juan Capistrano,101
958,Ballwin,101
959,Buffalo Grove,101
960,Sandy,101
961,Oldsmar,100
962,New Hope,100
963,West Chicago,100
964,West St Paul,100
965,Ventura,99
966,Lanham,99
967,Oro Valley,99
968,Marina Del Rey,99
969,Palm Springs,99
970,Battle Ground,99
971,Fountain Hills,99
972,Glen Ellyn,99
973,Lockhart,99
974,Kennett Square,98
975,Roanoke,98
976,Edgewood,98
977,Greenwich,98
978,Pleasant Hill,98
979,Wildwood,98
980,Nottingham,98
981,Cupertino,98
982,Commerce,98
983,Hastings,98
984,Morgantown,98
985,Walnut,98
986,Winter Springs,98
987,Savage,98
988,Keizer,97
989,Cutler Bay,97
990,Bell Gardens,97
991,Castro Valley,97
992,Great Neck,97
993,Lake Stevens,97
994,San Jacinto,97
995,Westfield,97
996,Willow Grove,97
997,Inver Grove Heights,96
998,Hammonton,96
999,Fort Myers,96
1000,Dania Beach,96
1001,Yorkville,96
1002,Glen Cove,96
1003,Franklin Park,96
1004,Stanton,96
1005,North Wales,95
1006,Little Elm,95
1007,Fair Lawn,95
1008,Lake Zurich,95
1009,Elmont,95
1010,El Paso,95
1011,Westerly,95
1012,Bridgeville,95
1013,Bellingham,95
1014,Miami Lakes,95
1015,East Meadow,94
1016,South El Monte,94
1017,California,94
1018,Old Saybrook,94
1019,Merrick,94
1020,Summit,94
1021,Clayton,94
1022,Watauga,94
1023,Temple Terrace,94
1024,Bayside,94
1025,Elmwood Park,94
1026,Harrisburg,94
1027,Enumclaw,94
1028,Conshohocken,93
1029,Hillside,93
1030,Hopkins,93
1031,Canyon Lake,93
1032,Canonsburg,93
1033,Fallbrook,93
1034,Hesperia,92
1035,Gambrills,92
1036,Bethel Park,92
1037,Evergreen,92
1038,Cocoa Beach,92
1039,Fairview,92
1040,Cave Creek,92
1041,Glassboro,92
1042,Barrington,92
1043,Manchester,92
1044,Dundee,91
1045,Albemarle,91
1046,Woodland Park,91
1047,Green Bay,91
1048,Nutley,91
1049,Port Charlotte,91
1050,Santa Cruz,91
1051,Panorama City,90
1052,Odenton,90
1053,Moorpark,90
1054,Seal Beach,89
1055,Milton,89
1056,Crosby,89
1057,La Cañada Flintridge,88
1058,La Plata,88
1059,Floresville,88
1060,Evergreen Park,88
1061,Rancho Santa Margarita,88
1062,Franklin Square,88
1063,Peachtree Corners,88
1064,New Caney,88
1065,Anoka,88
1066,Wharton,88
1067,Providence,88
1068,Mill Creek,88
1069,Hermosa Beach,88
1070,Lakeside,87
1071,Woodridge,87
1072,Tavares,87
1073,Rogers,87
1074,Pikesville,87
1075,Baldwin,87
1076,Tarzana,87
1077,Utica,87
1078,Canby,87
1079,Morris,87
1080,City of Orange,87
1081,Wixom,87
1082,Port Townsend,87
1083,Belle Vernon,87
1084,Streamwood,87
1085,Burlingame,87
1086,Hutto,86
1087,Williamstown,86
1088,Lisle,86
1089,Deptford Township,86
1090,Holiday,86
1091,Shorewood,85
1092,Hampton,85
1093,Forest Grove,85
1094,St Pete Beach,85
1095,Los Alamitos,85
1096,Chaska,85
1097,Peekskill,85
1098,Malvern,85
1099,Hacienda Heights,85
1100,Butler,84
1101,Ronkonkoma,84
1102,Jensen Beach,84
1103,Trumbull,84
1104,Long Branch,84
1105,Dyer,84
1106,Lake Orion,84
1107,Liberty,84
1108,Oxnard,84
1109,Bristol,83
1110,Bridgeview,83
1111,Alsip,83
1112,Red Oak,83
1113,Hillsborough Township,83
1114,Crestwood,83
1115,San Tan Valley,83
1116,Lake Park,82
1117,Westwood,82
1118,Prince Frederick,82
1119,Collegeville,82
1120,Agoura Hills,82
1121,McKees Rocks,82
1122,Broken Arrow,82
1123,Coatesville,82
1124,Reisterstown,81
1125,Allentown,81
1126,Mineola,81
1127,Sherwood,81
1128,Sequim,81
1129,Havertown,81
1130,Dumfries,81
1131,Denville,80
1132,Centereach,80
1133,Claremore,80
1134,Camas,80
1135,East Northport,80
1136,Stonecrest,80
1137,West Mifflin,80
1138,Romulus,80
1139,Amelia,80
1140,Odessa,80
1141,Aliso Viejo,80
1142,Fridley,80
1143,East Chicago,80
1144,Aliquippa,80
1145,Clawson,80
1146,Danville,79
1147,Royse City,79
1148,East Hanover,79
1149,Helotes,79
1150,Countryside,79
1151,Glen Mills,79
1152,San Bruno,79
1153,Temple City,79
1154,Selma,79
1155,St Helens,79
1156,Morton Grove,79
1157,Natick,79
1158,Iselin,79
1159,Mays Landing,79
1160,Wantagh,79
1161,Rahway,79
1162,Jamaica Plain,79
1163,Holbrook,79
1164,Augusta,78
1165,North Hills,78
1166,Hauppauge,78
1167,Fairburn,78
1168,Middle River,78
1169,Powder Springs,78
1170,Lantana,78
1171,Greenbelt,78
1172,Alvarado,78
1173,Des Moines,78
1174,Lynbrook,78
1175,Lorton,77
1176,Maple Valley,77
1177,Saginaw,77
1178,Dripping Springs,77
1179,Plainview,77
1180,Seffner,77
1181,Lumberton,77
1182,El Dorado Hills,77
1183,Warrington,77
1184,Hamtramck,77
1185,Channelview,77
1186,Andover,76
1187,Lemont,76
1188,Severna Park,76
1189,Pensacola,76
1190,Land O Lakes,76
1191,Stoneham,76
1192,Menlo Park,76
1193,Brookhaven,76
1194,Waxhaw,76
1195,El Campo,75
1196,Indian Land,75
1197,Bartlett,75
1198,King George,75
1199,Sealy,75
1200,Kaufman,75
1201,Blackwood,75
1202,College Station,75
1203,Maryland Heights,75
1204,Garfield,74
1205,Mukilteo,74
1206,Duarte,74
1207,Berkley,74
1208,Morrisville,74
1209,Fife,74
1210,Erlanger,74
1211,Coraopolis,74
1212,Fort Washington,74
1213,Cottage Grove,74
1214,Franklin,74
1215,Newhall,74
1216,Bellmore,74
1217,Sumner,74
1218,Waco,74
1219,Palisades Park,73
1220,Los Altos,73
1221,Uniontown,73
1222,Tolleson,73
1223,Globe,73
1224,Pinole,73
1225,Bethpage,73
1226,Glendale Heights,73
1227,Secaucus,73
1228,Martinez,73
1229,Ruskin,73
1230,Locust Grove,73
1231,Cary,73
1232,Belton,73
1233,Chanhassen,73
1234,Solana Beach,73
1235,Oak Brook,73
1236,Shirley,73
1237,Wakefield,72
1238,South Miami,72
1239,Weirton,72
1240,Memphis,72
1241,Wilton Manors,72
1242,Springdale,72
1243,Rolling Meadows,72
1244,Mamaroneck,72
1245,Oklahoma City,72
1246,Turnersville,72
1247,Hanover Park,72
1248,Prosper,72
1249,Kemah,72
1250,Oak Harbor,72
1251,Sparta,72
1252,Jenkintown,72
1253,Northfield,71
1254,North Bend,71
1255,Maple Shade Township,71
1256,Highland Village,71
1257,Griffith,71
1258,Athens,71
1259,Lawrenceburg,71
1260,University Place,71
1261,Guilford,71
1262,Verona,71
1263,North Palm Beach,71
1264,Bee Cave,71
1265,Allston,71
1266,Spring Branch,71
1267,Blue Island,71
1268,Erie,70
1269,Horsham,70
1270,Laveen Village,70
1271,Port Jefferson Station,70
1272,Eldersburg,70
1273,Rohnert Park,70
1274,Signal Hill,70
1275,Mint Hill,70
1276,South Houston,70
1277,Matawan,69
1278,Wickenburg,69
1279,Monaca,69
1280,Fort Collins,69
1281,East St Louis,69
1282,New Brighton,69
1283,Mobile,69
1284,Lakeway,69
1285,Fraser,69
1286,Lyndhurst,69
1287,Bensenville,69
1288,Olney,69
1289,Grass Valley,69
1290,Port Washington,69
1291,Moorestown,69
1292,New City,69
1293,Hingham,69
1294,Red Bank,69
1295,Mt Clemens,69
1296,Irwin,69
1297,North Bergen,68
1298,Clarksville,68
1299,Bend,68
1300,El Cerrito,68
1301,San Pablo,68
1302,Gibsonia,68
1303,Newtown Square,68
1304,Shenandoah,68
1305,Ardmore,68
1306,Hyde Park,68
1307,Emeryville,68
1308,Fairless Hills,68
1309,Clute,68
1310,North Aurora,68
1311,Carpentersville,68
1312,East Haven,67
1313,Bergenfield,67
1314,Uniondale,67
1315,New Kensington,67
1316,Mechanicsville,67
1317,Syosset,67
1318,Mt Kisco,67
1319,Benbrook,67
1320,Brooklyn Center,67
1321,Easton,66
1322,Roslindale,66
1323,Randallstown,66
1324,Crest Hill,66
1325,South Holland,66
1326,Tumwater,66
1327,Bloomfield Hills,66
1328,Ambler,66
1329,Wellesley,66
1330,Central Islip,66
1331,Norridge,66
1332,Bryn Mawr,66
1333,Jessup,65
1334,Rosemount,65
1335,West Hempstead,65
1336,Wayzata,65
1337,Blue Ash,65
1338,McKeesport,65
1339,Metuchen,65
1340,Murphy,65
1341,Homosassa,65
1342,New Richmond,65
1343,Clover,65
1344,Aston,65
1345,Corpus Christi,65
1346,Hebron,65
1347,Benicia,65
1348,Loma Linda,65
1349,Homer Glen,65
1350,Bellaire,65
1351,Selden,65
1352,Del Mar,65
1353,Harvey,64
1354,Newbury Park,64
1355,Champlin,64
1356,Matteson,64
1357,Monument,64
1358,Mission Hills,64
1359,Vernon Hills,64
1360,Glenside,64
1361,Totowa,64
